place_id,name,country,city,category,latitude,longitude
1,Quattro Fontane,Italy,Rome,Attraction,41.901969,12.490741
2,,Italy,Rome,Attraction,41.873186,12.501797
3,Porta Magica,Italy,Rome,Attraction,41.895502,12.50374
4,,Italy,Rome,Attraction,41.898807,12.509556
5,,Italy,Rome,Attraction,41.898739,12.509602
6,Catacombe di Priscilla,Italy,Rome,Attraction,41.929726,12.508765
7,"bunker ""Ferro di Cavallo""",Italy,Rome,Attraction,41.934481,12.498636
8,Fontana dell'Acqua Acetosa,Italy,Rome,Attraction,41.931521,12.485651
9,Catacombe di Sant'Agnese,Italy,Rome,Attraction,41.922768,12.51876
10,Fontana dei Libri,Italy,Rome,Attraction,41.898402,12.474202
11,,Italy,Rome,Attraction,41.928485,12.481233
12,Monte Mario,Italy,Rome,Attraction,41.924405,12.452132
13,Ninfeo di Egeria,Italy,Rome,Attraction,41.859159,12.524261
14,Cannone di Mezzogiorno,Italy,Rome,Attraction,41.891446,12.461536
15,,Italy,Rome,Attraction,41.885619,12.49449
16,Obelisco Matteiano,Italy,Rome,Attraction,41.883389,12.495335
17,Madonna con Gesù bambino,Italy,Rome,Attraction,41.9011,12.479451
18,Fonte dell'Acqua Sacra,Italy,Rome,Attraction,41.930239,12.534558
19,"Statua ""parlante"" di Pasquino",Italy,Rome,Attraction,41.897715,12.472308
20,Torre di Perna,Italy,Rome,Attraction,41.766306,12.456538
21,Arco di Paolo V,Italy,Rome,Attraction,41.888977,12.453117
22,,Italy,Rome,Attraction,41.882225,12.474271
23,Porta Latina,Italy,Rome,Attraction,41.876519,12.502488
24,Colle Palatino,Italy,Rome,Attraction,41.889306,12.487109
25,Monumento a Pier Paolo Pasolini,Italy,Rome,Attraction,41.741537,12.248943
26,Villa Romana - Via Pollenza,Italy,Rome,Attraction,41.946544,12.577425
27,Villa e Cisterna delle Vignacce,Italy,Rome,Attraction,41.854281,12.555215
28,Museo dell'Astronomia e Planetario,Italy,Rome,Attraction,41.830911,12.477479
29,Porta Metronia,Italy,Rome,Attraction,41.882323,12.498639
30,Villa di Massenzio,Italy,Rome,Attraction,41.853698,12.518942
31,,Italy,Rome,Attraction,41.85667,12.514574
32,Catacombe di San Sebastiano,Italy,Rome,Attraction,41.85593,12.515797
33,,Italy,Rome,Attraction,41.85964,12.496038
34,Arco di Via Nola,Italy,Rome,Attraction,41.887544,12.514546
35,Arco di Via Nola,Italy,Rome,Attraction,41.887528,12.514493
36,Arco su Porta San Lorenzo,Italy,Rome,Attraction,41.897237,12.51048
37,Porta San Lorenzo,Italy,Rome,Attraction,41.897465,12.51031
38,Museo Storico dei Bersaglieri,Italy,Rome,Attraction,41.909267,12.501079
39,Galeria,Italy,Rome,Attraction,42.024985,12.299937
40,Galleria Spada,Italy,Rome,Attraction,41.893887,12.472201
41,Museo di Roma,Italy,Rome,Attraction,41.897278,12.472777
42,Porta Romana,Italy,Rome,Attraction,41.757389,12.295753
43,Museo Nazionale Romano,Italy,Rome,Attraction,41.901198,12.472838
44,Monumento a Terenzio Mamiani della Rovere,Italy,Rome,Attraction,41.899798,12.465751
45,Palazzo Doria Pamphilj,Italy,Rome,Attraction,41.897824,12.481561
46,,Italy,Rome,Attraction,41.859693,12.495686
47,,Italy,Rome,Attraction,41.859632,12.495659
48,,Italy,Rome,Attraction,41.859551,12.495423
49,,Italy,Rome,Attraction,41.859888,12.494936
50,,Italy,Rome,Attraction,41.859538,12.495556
51,,Italy,Rome,Attraction,41.859767,12.495151
52,,Italy,Rome,Attraction,41.859499,12.495481
53,,Italy,Rome,Attraction,41.859573,12.495838
54,,Italy,Rome,Attraction,41.859664,12.495285
55,,Italy,Rome,Attraction,41.859439,12.495527
56,,Italy,Rome,Attraction,41.859721,12.495217
57,,Italy,Rome,Attraction,41.859612,12.495351
58,,Italy,Rome,Attraction,41.859819,12.495052
59,,Italy,Rome,Attraction,41.856111,12.496101
60,,Italy,Rome,Attraction,41.856186,12.495887
61,,Italy,Rome,Attraction,41.854209,12.488524
62,,Italy,Rome,Attraction,41.853732,12.488857
63,,Italy,Rome,Attraction,41.854006,12.488895
64,,Italy,Rome,Attraction,41.854128,12.488406
65,,Italy,Rome,Attraction,41.854334,12.48824
66,,Italy,Rome,Attraction,41.85393,12.488805
67,,Italy,Rome,Attraction,41.854147,12.48868
68,,Italy,Rome,Attraction,41.854369,12.488464
69,,Italy,Rome,Attraction,41.853613,12.488906
70,,Italy,Rome,Attraction,41.854061,12.488679
71,,Italy,Rome,Attraction,41.85366,12.489059
72,,Italy,Rome,Attraction,41.853879,12.488927
73,,Italy,Rome,Attraction,41.854427,12.488347
74,,Italy,Rome,Attraction,41.854056,12.488507
75,,Italy,Rome,Attraction,41.853756,12.488987
76,,Italy,Rome,Attraction,41.853973,12.489003
77,,Italy,Rome,Attraction,41.854033,12.482427
78,,Italy,Rome,Attraction,41.852972,12.491495
79,,Italy,Rome,Attraction,41.853142,12.490999
80,,Italy,Rome,Attraction,41.853103,12.490451
81,,Italy,Rome,Attraction,41.853125,12.491698
82,,Italy,Rome,Attraction,41.852917,12.491426
83,,Italy,Rome,Attraction,41.853267,12.491905
84,,Italy,Rome,Attraction,41.853074,12.491621
85,,Italy,Rome,Attraction,41.853042,12.490526
86,,Italy,Rome,Attraction,41.85285,12.491329
87,,Italy,Rome,Attraction,41.853225,12.491833
88,,Italy,Rome,Attraction,41.853023,12.491563
89,,Italy,Rome,Attraction,41.853016,12.491154
90,,Italy,Rome,Attraction,41.853173,12.491763
91,,Italy,Rome,Attraction,41.863936,12.486701
92,Harry's Bar,Italy,Rome,Attraction,41.909077,12.488319
93,,Italy,Rome,Attraction,41.919762,12.460955
94,,Italy,Rome,Attraction,41.930168,12.399105
95,,Italy,Rome,Attraction,41.929675,12.398602
96,,Italy,Rome,Attraction,41.92948,12.398398
97,,Italy,Rome,Attraction,41.861071,12.46862
98,,Italy,Rome,Attraction,41.861063,12.465131
99,,Italy,Rome,Attraction,41.860996,12.466631
100,,Italy,Rome,Attraction,41.861102,12.464105
101,,Italy,Rome,Attraction,41.860967,12.466081
102,,Italy,Rome,Attraction,41.861021,12.467344
103,,Italy,Rome,Attraction,41.860913,12.464999
104,,Italy,Rome,Attraction,41.861037,12.467702
105,,Italy,Rome,Attraction,41.86112,12.466415
106,,Italy,Rome,Attraction,41.861014,12.464474
107,,Italy,Rome,Attraction,41.861063,12.468245
108,,Italy,Rome,Attraction,41.861174,12.467493
109,,Italy,Rome,Attraction,41.861008,12.466978
110,,Italy,Rome,Attraction,41.861112,12.464637
111,,Italy,Rome,Attraction,41.861136,12.46678
112,,Italy,Rome,Attraction,41.860993,12.466436
113,,Italy,Rome,Attraction,41.861089,12.46567
114,,Italy,Rome,Attraction,41.860926,12.465521
115,,Italy,Rome,Attraction,41.861071,12.468794
116,,Italy,Rome,Attraction,41.861066,12.464971
117,,Italy,Rome,Attraction,41.860936,12.464783
118,,Italy,Rome,Attraction,41.861156,12.467114
119,,Italy,Rome,Attraction,41.860946,12.4659
120,,Italy,Rome,Attraction,41.8612,12.467664
121,,Italy,Rome,Attraction,41.861047,12.467883
122,,Italy,Rome,Attraction,41.861115,12.466217
123,,Italy,Rome,Attraction,41.861047,12.464283
124,,Italy,Rome,Attraction,41.861073,12.468429
125,,Italy,Rome,Attraction,41.861078,12.465497
126,,Italy,Rome,Attraction,41.860996,12.466794
127,,Italy,Rome,Attraction,41.861138,12.466575
128,,Italy,Rome,Attraction,41.860985,12.466255
129,,Italy,Rome,Attraction,41.860923,12.46534
130,,Italy,Rome,Attraction,41.861029,12.467521
131,,Italy,Rome,Attraction,41.861073,12.464818
132,,Italy,Rome,Attraction,41.860977,12.464609
133,,Italy,Rome,Attraction,41.861164,12.467305
134,,Italy,Rome,Attraction,41.861021,12.467152
135,,Italy,Rome,Attraction,41.861151,12.466947
136,,Italy,Rome,Attraction,41.861053,12.468074
137,,Italy,Rome,Attraction,41.861102,12.465876
138,,Italy,Rome,Attraction,41.860933,12.465719
139,,Italy,Rome,Attraction,41.87397,12.476595
140,,Italy,Rome,Attraction,41.874277,12.477057
