country,city,dish,type
Italy,Rome,Cacio e Pepe,Main Dish
France,Paris,Croissant,Breakfast
Spain,Madrid,Paella,Main Dish
India,Delhi,Butter Chicken,Main Dish
Japan,Tokyo,Sushi,Main Dish
Thailand,Bangkok,Pad Thai,Main Dish
USA,New York,Cheesecake,Dessert
Mexico,Mexico City,Tacos,Street Food
Brazil,Rio de Janeiro,Feijoada,Main Dish
UAE,Dubai,Shawarma,Street Food
Turkey,Istanbul,Kebab,Main Dish
Australia,Sydney,Meat Pie,Snack
South Africa,Cape Town,Bobotie,Main Dish
Egypt,Cairo,Koshari,Main Dish
Morocco,Marrakesh,Tagine,Main Dish
