restaurant_id,name,country,city,cuisine,latitude,longitude
1,Pizzeria ai Marmi,Italy,Rome,pizza,41.888263,12.47379
2,Sichuan Haozi,Italy,Rome,chinese,41.895814,12.499455
3,Dar filettaro a Santa Barbara,Italy,Rome,italian,41.894671,12.473696
4,Al Peperoncino,Italy,Rome,pizza;steak_house,41.853427,12.476983
5,Rosati,Italy,Rome,,41.910076,12.47607
6,,Italy,Rome,,41.874261,12.607099
7,Trattoria Ada e Mario,Italy,Rome,italian,41.875315,12.514332
8,Gustosando,Italy,Rome,italian_pizza;italian,41.89954,12.427434
9,Sa Posada,Italy,Rome,sardinian,41.879946,12.507904
10,Pizzeria Formula 1,Italy,Rome,pizza,41.897019,12.512681
11,Da Francesco,Italy,Rome,pasta,41.899318,12.470403
12,Pizzeria Nuovo Mondo,Italy,Rome,pizza,41.88212,12.476172
13,Le Streghe,Italy,Rome,steak_house;italian,41.862816,12.551723
14,Mok,Italy,Rome,,41.910703,12.498585
15,,Italy,Rome,,41.956967,12.412676
16,HanCook Ristorante Coreano Roma (한쿡),Italy,Rome,korean,41.884115,12.516125
17,T-Bone Station,Italy,Rome,steak_house,41.941595,12.470398
18,Casa Claudia Jazz and Garden,Italy,Rome,,41.933568,12.533792
19,Mangianapoli,Italy,Rome,pizza,41.861397,12.550845
20,Sergio e Serra,Italy,Rome,regional,41.730506,12.276407
21,Mare Blu,Italy,Rome,chinese,41.861318,12.550387
22,Pot Pourri,Italy,Rome,pizza,41.863339,12.490442
23,Tandoori,Italy,Rome,indian,41.888272,12.529621
24,Ar Buchetto,Italy,Rome,italian,41.876446,12.518367
25,Trattoria Zampagna,Italy,Rome,regional,41.860672,12.478707
26,Cacio e pepe,Italy,Rome,italian;local,41.915292,12.466712
27,,Italy,Rome,,41.97629,12.273903
28,,Italy,Rome,pizza,41.813289,12.486013
29,Antico Falcone,Italy,Rome,Romana,41.912108,12.453039
30,Arco bistrot,Italy,Rome,italian;pizza,41.867424,12.5358
31,Nuraghe Sardo,Italy,Rome,,41.910958,12.445896
32,La Locanda del Borgo,Italy,Rome,,41.96449,12.596791
33,Peperoncino Rosso,Italy,Rome,,41.777977,12.442181
34,Ristorante la Torre,Italy,Rome,italian,41.931426,12.578281
35,'O Masto 3 - Al Vesuvio,Italy,Rome,pizza,41.862281,12.488147
36,Sushi Kyo,Italy,Rome,japanese,41.841628,12.481483
37,La Caraffa,Italy,Rome,fish,41.869362,12.517176
38,Hang Zhou,Italy,Rome,chinese,41.893702,12.508619
39,Siciliainbocca,Italy,Rome,regional,41.932679,12.467559
40,Lo Sgobbone,Italy,Rome,italian,41.928498,12.462462
41,Da Domenico,Italy,Rome,regional,41.885727,12.537674
42,Il Baffetto,Italy,Rome,pizza,41.898305,12.470351
43,NO Pizza Party,Italy,Rome,pizza,41.808601,12.483434
